job_title,company_name,rating,experience,salary,location,job_description,skills
Backend Developer,Nao Medical,1.0,0-3 Yrs,Not disclosed,New Delhi,"Bachelor s degree in Computer Science, Information Technology, Engineering, or a relate...","Computer science,Backend,Front end,MySQL,Web development,Javascript,Healthcare,Windows"
Backend Developer,Terralogic Software Solutions,3.2,15-25 Yrs,Not disclosed,"Chennai, Bengaluru","Experience in designing and developing Web Apps using Java . Spring Boot development, C...","Core Java,Backend,Multithreading,SOA,Memory management,Eclipse,MySQL,Scrum"
Backend Developer,IBM,4.1,6-10 Yrs,Not disclosed,Bengaluru,Your Role and ResponsibilitiesData and AI Development team is looking for enthusiastic ...,"microservices,java,git,j2ee,agile,continuous integration,kubernetes,jsp"
Backend Developer,Tecqubes Technologies,4.4,1-3 Yrs,Not disclosed,Chennai,Experience With Elastic Search Or Solr Is PreferredBasics understanding of cloud infras...,",spring security,spring data,springboot,nosql,Backend,Backend Development,Spring Boot"
SalesforcePrincipal Backend Developer,Medtronic,4.1,2-4 Yrs,Not disclosed,Pune,"Salesforce Certified Technical Architect,  Salesforce Certified Platform Developer I. S...","salesforce,agilejavascript frameworks,devops,service cloud,marketing cloud,Framework,Backend,Cloud"
Backend Developers,Alp Consulting,3.3,2-4 Yrs,Not disclosed,Bengaluru,"Essential Skills (Skills without which the person cannot perform the role, limit to a m...","algorithms,java,spring microservices,ci/cd,data structures,agile,Cd,Spring"
Backend Developer,Trigent Software,3.6,5-9 Yrs,Not disclosed,Bengaluru,"  Experience 5+ Mandatory skill set - Node JS/ NestJS, SQLGood understanding of microse...","Azure,Node.Js,Nestjs,SQL,Development,Microsoft Azure,Backend Development,Backend"
Backend Developer,JK Technology Services,None,1-4 Yrs,Not disclosed,Bengaluru,Good understanding of REST API design patterns Experience with AWS technologies such as...,"Backend,GIT,Web technologies,Architecture,Unit testing,JIRA,AWS,microservices"
Backend Developer,Adani Group,3.9,5-8 Yrs,Not disclosed,Ahmedabad,You proactively support knowledge-sharing and build good working relationships within t...,"Django,Python Development,restapi,Python,Backend,Development,Rest,Backend Development"
Backend Developer,Drip Capital,3.9,1-3 Yrs,Not disclosed,Mumbai,"3+ years of relevant work experience of building low latency distributed systems, that ...",",python,java,codeigniter,golangspring,Backend,Development,Backend Development"
Backend developer,IBM,4.1,5-8 Yrs,Not disclosed,Bengaluru,Required Technical and Professional Expertise . Preferred Technical and Professional Ex...,"rest,python,network routing,golang,routing protocols,tcp,iptables,kubernetes"
Backend Developer,IBM,4.1,1-3 Yrs,Not disclosed,Bengaluru,"Your Role and ResponsibilitiesWe are seeking a cloud backend and automation engineer, w...","kubernetes,golang,docker,devops,linux,container,css,c++"
Backend Developer,IBM,4.1,2-3 Yrs,Not disclosed,Bengaluru,"At IBM, work is more than a job - it's a callingTo build. To design. To code. To consul...","algorithms,software development,enterprise applications,microservices,java,rdbms,oracle,software testing"
Backend Developer,IBM,4.1,4-9 Yrs,Not disclosed,Bengaluru,Your Role and ResponsibilitiesThe Back End Developer will primarily be responsible for ...,"swagger,java,typescript,software development,relational databases,css,software quality,spring"
Backend Developer,IBM,4.1,8-13 Yrs,Not disclosed,Bengaluru,"Heterogeneous environments, the explosion of data, digital automation, and cybersecurit...","golang,python,software development,php,iaas,css,c++,jquery"
Backend Developer,IBM,4.1,2-4 Yrs,Not disclosed,Bengaluru,Your Role and ResponsibilitiesWe are looking for a developer highly interested in devel...,"container,algorithms,hsm,linux,container orchestration,rest,kubernetes,ubuntu"
